# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor.Present7Chk16	46.6	3516
FourColor.Present7Chk17	29.7	3183
FourColor.Present7Chk18	19.0	2410
FourColor.Present7Chk19	46.2	2784
FourColor.Present7Chk2	37.0	2374
FourColor.Present7Chk20	18.3	2273
FourColor.Present7Chk21	34.9	2622
FourColor.Present7Chk22	34.0	2922
FourColor.Present7Chk23	28.0	2767
FourColor.Present7Chk24	50.5	2887
FourColor.Present7Chk25	54.1	2654
FourColor.Present7Chk26	19.6	2256
FourColor.Present7Chk27	29.5	2620
FourColor.Present7Chk28	21.8	2524
FourColor.Present7Chk29	32.2	2775
FourColor.Present7Chk3	26.3	2294
FourColor.Present7Chk30	31.0	2991
FourColor.Present7Chk31	24.5	2861
FourColor.Present7Chk32	30.1	2484
FourColor.Present7Chk33	22.5	2326
FourColor.Present7Chk34	45.8	3896
FourColor.Present7Chk35	21.6	2351
FourColor.Present7Chk36	37.2	2553
FourColor.Present7Chk37	61.0	4245
FourColor.Present7Chk38	23.8	2601
FourColor.Present7Chk39	37.6	2809
FourColor.Present7Chk4	31.4	3036
FourColor.Present7Chk40	64.5	4174
FourColor.Present7Chk41	71.9	4176
FourColor.Present7Chk42	47.4	3330
FourColor.Present7Chk43	75.7	5622
FourColor.Present7Chk44	64.5	3598
FourColor.Present7Chk45	96.5	4176
FourColor.Present7Chk46	73.1	3479
FourColor.Present7Chk47	21.4	2359
FourColor.Present7Chk48	16.9	2291
FourColor.Present7Chk49	43.4	4080
FourColor.Present7Chk5	47.7	3727
FourColor.Present7Chk50	28.7	3171
FourColor.Present7Chk51	36.7	3683
FourColor.Present7Chk52	43.0	4449
FourColor.Present7Chk53	43.4	3837
FourColor.Present7Chk54	34.6	2674
FourColor.Present7Chk55	23.1	3536
FourColor.Present7Chk56	75.9	4660
FourColor.Present7Chk57	47.4	3353
FourColor.Present7Chk58	20.8	2992
FourColor.Present7Chk59	22.4	2438
FourColor.Present7Chk6	25.0	2687
FourColor.Present7Chk60	12.5	2235
FourColor.Present7Chk61	43.7	2677
FourColor.Present7Chk62	169.2	6587
FourColor.Present7Chk63	204.0	6417
FourColor.Present7Chk64	38.6	4551
FourColor.Present7Chk65	44.0	3248
FourColor.Present7Chk66	134.0	5162
FourColor.Present7Chk67	33.8	2523
FourColor.Present7Chk68	185.5	6708
FourColor.Present7Chk69	28.1	2369
FourColor.Present7Chk7	38.1	2929
FourColor.Present7Chk70	25.2	2565
FourColor.Present7Chk71	27.3	2575
FourColor.Present7Chk72	28.0	2626
FourColor.Present7Chk73	35.0	2790
FourColor.Present7Chk74	145.1	8208
FourColor.Present7Chk75	58.5	3840
FourColor.Present7Chk76	64.9	3325
FourColor.Present7Chk77	8.0	2098
FourColor.Present7Chk78	11.8	2344
FourColor.Present7Chk79	14.2	2515
FourColor.Present7Chk8	39.6	3513
FourColor.Present7Chk80	18.5	3277
FourColor.Present7Chk81	14.1	2318
FourColor.Present7Chk82	14.8	2272
FourColor.Present7Chk83	32.3	3142
FourColor.Present7Chk84	100.5	6473
FourColor.Present7Chk85	204.2	7514
FourColor.Present7Chk86	107.4	8123
FourColor.Present7Chk87	189.6	9245
FourColor.Present7Chk88	53.8	4125
FourColor.Present7Chk89	36.2	3065
FourColor.Present7Chk9	44.9	3527
FourColor.Present7Chk90	48.8	2717
FourColor.Present7Chk91	19.0	2536
FourColor.Present7Chk92	11.8	2170
FourColor.Present7Chk93	24.4	2766
FourColor.Present7Chk94	19.5	2498
FourColor.Present7Chk95	30.3	3322
FourColor.Present7Chk96	39.3	3112
FourColor.Present7Chk97	59.8	3312
FourColor.Present7Chk98	72.2	3894
FourColor.Present7Chk99	59.4	5962
FourColor.Present7Defs	24.0	2984
FourColor.Present7Hub1	1.6	2040
FourColor.Present7Step1	12.6	2401
FourColor.Present7Step10	12.4	2446
FourColor.Present7Step11	8.0	2327
FourColor.Present7Step12	6.8	2249
